Crime ID,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
300668cfaee5e9b4992cfbbd7d42c7fc807d1c33fd814f09e619241e718fd8bc,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
f58a585a8bcd1e389c39a610e0f5cb8bd8195fff02d28fb18bb7cf40d7b38d87,City of London Police,City of London Police,-0.097929,51.52181,On or near GLASSHOUSE YARD,E01033490,Islington 022H,Investigation complete; no suspect identified
d7ee23295f60f5b2bfb186590652ff3b4765f246617f0ccfbf44d342f901e4b2,City of London Police,City of London Police,-0.089838,51.516067,On or near COLEMAN STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
4afd29fc3f0d0bb17484adb918d553958724dd5c7413aac9cc5d4bed60c295ba,City of London Police,City of London Police,-0.09071,51.513132,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
14524440ad372874969fa9266df46a1ada39a1f86357c0d58be5b1bbe64acf43,City of London Police,City of London Police,-0.084566,51.51769,On or near BLOMFIELD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
b35a1034e2542ff2c6fe43f4a676d061accd968b37f65b5a315c608ec6d658e9,City of London Police,City of London Police,-0.076113,51.511014,On or near Conference/Exhibition Centre,E01000005,City of London 001E,Unable to prosecute suspect
f959551c6b367152d29b187e6cd3a200e3b52a5df875dec8f889dda2ae66177b,City of London Police,City of London Police,-0.102412,51.517297,On or near COCK LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
72e27821dbf78363c0ac7162e3280c22b772e6eec108ece5ee02eec0bbf7c15c,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Suspect charged
2b70116e4889266f714a1d2a4cda213bf1ecb7f7e4f9307ed3c40bc721d85c9d,City of London Police,City of London Police,-0.07421,51.511711,On or near PORTSOKEN STREET,E01000005,City of London 001E,Unable to prosecute suspect
d16c0c81420b94ff4de7b7b7d8526f0843adc94bf3ce34bdbc840cdf1eccb1b0,City of London Police,City of London Police,-0.091823,51.514418,On or near IRONMONGER LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
0fefc3e3d3198cb2f88cfc96d707d2deb94d18ed440204df36356db04cb3ed4b,City of London Police,City of London Police,-0.0954,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Investigation complete; no suspect identified
618b3c518bbbc961e557dbbb5f7d7106263a3e823624549f05e1f80b69d0de86,City of London Police,City of London Police,-0.097699,51.51142,On or near BOOTH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
04f2651e55845e4f5abef2eada4131cfaafb7123e92d56734e985081f07e531f,City of London Police,City of London Police,-0.081091,51.516014,On or near CAMOMILE STREET,E01032739,City of London 001F,Unable to prosecute suspect
65bc5825edb6de2d8c73200fc4832bc8c6abfc9bfddddf24bbd15975a5b1f874,City of London Police,City of London Police,-0.077451,51.515523,On or near WHITE KENNETT STREET,E01000005,City of London 001E,Local resolution
b60dcc965f3c0964b20185f85c4bec05d4beb0a6517b254885fdfaf116da693b,City of London Police,City of London Police,-0.078308,51.518091,On or near WIDEGATE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
41a382639986848e7af5edf1d8c7477e45256a1b3ff05ac0d12080be8f62c00c,City of London Police,City of London Police,-0.073515,51.510414,On or near Parking Area,E01000005,City of London 001E,Investigation complete; no suspect identified
6e3a6d3c829ecab0309f3f901274cb7651dfe6f2cc55ef2cbfabbc3d96e798fd,City of London Police,City of London Police,-0.09586,51.52166,On or near FANN STREET,E01000003,City of London 001C,Investigation complete; no suspect identified
c4c9fe580e6337b49e99490284ebe08bad4572db6f9d0ebd94acf0b0c23c1df7,City of London Police,City of London Police,-0.079444,51.512678,On or near FENCHURCH BUILDINGS,E01032739,City of London 001F,Suspect charged
2e43eb186461f9d52f00048c4dd6ef5cb9acf1f07ab305e9fa2829710b84bbe3,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
4f0a415c046de58d073ae1855478127be882787546afcf07618d81e4a9de5473,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Suspect charged
